Descripción,Valores de Silhouette y de Inercia para clustering con KMeans con todos los clientes (sin analisis de outliers)
Columnas seleccionadas,Categoria_Digital,Elasticidad_Precios,Propension,Probabilidad_No_Pago,Edad,Renta,cantidad simulaciones,tasa de concresion
Número de clientes,543651
Método de normalización,StandardScaler
Reducción de dimensionalidad,PCA (95% de la varianza)
Rango de k,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20

k,Inercia,Silhouette Score
2,3643662.8284558314,0.16852330495248466
3,3243492.938984495,0.14664403295792752
4,2961329.473633193,0.15177077720386148
5,2703135.655816338,0.14574311291069286
6,2513883.0840407354,0.15103952815075572
7,2344377.587641431,0.15715801592401518
8,2210816.13555585,0.15931315607167917
9,2092187.6638857324,0.16469206919347557
10,1995715.7894971683,0.16477071824448897
11,1920017.3942616198,0.16553865970051046
12,1854058.7864787083,0.16556429592890187
13,1796752.736719794,0.1653368399434062
14,1747647.2853424302,0.16663444476315475
15,1701492.8479441307,0.16836408771077382
16,1661275.2862967039,0.1648101137125298
17,1626263.2141332226,0.16097958563320472
18,1587048.2875777306,0.16139325590824513
19,1555199.7307788506,0.16074386192146448
20,1526186.940825519,0.1577139269353197
