categoria_clusterizacion_numerica,probabilidad_simular,Tratamiento
0,0.14209142348411494,"Ejecutivo=0, Correos=0"
0,0.15487799684878423,"Ejecutivo=0, Correos=1"
0,0.16616978048672762,"Ejecutivo=0, Correos=2"
0,0.1732755991140936,"Ejecutivo=0, Correos=3"
0,0.1760194089055871,"Ejecutivo=0, Correos=4"
0,0.34374002234993617,"Ejecutivo=1, Correos=0"
0,0.3533522643457737,"Ejecutivo=1, Correos=1"
0,0.36649387784442616,"Ejecutivo=1, Correos=2"
1,0.1426149101138035,"Ejecutivo=0, Correos=0"
1,0.15497989437537316,"Ejecutivo=0, Correos=1"
1,0.16714185878004964,"Ejecutivo=0, Correos=2"
1,0.17209013518218977,"Ejecutivo=0, Correos=3"
1,0.1752237833853959,"Ejecutivo=0, Correos=4"
1,0.34034878543884933,"Ejecutivo=1, Correos=0"
1,0.35389560903964196,"Ejecutivo=1, Correos=1"
1,0.3660966074821781,"Ejecutivo=1, Correos=2"
2,0.14405269615002628,"Ejecutivo=0, Correos=0"
2,0.15295002888891876,"Ejecutivo=0, Correos=1"
2,0.16578697350364194,"Ejecutivo=0, Correos=2"
2,0.17337544424896312,"Ejecutivo=0, Correos=3"
2,0.17517237120132692,"Ejecutivo=0, Correos=4"
2,0.34190620272314676,"Ejecutivo=1, Correos=0"
2,0.34975422098739045,"Ejecutivo=1, Correos=1"
2,0.36785181501740427,"Ejecutivo=1, Correos=2"
3,0.14103016316123634,"Ejecutivo=0, Correos=0"
3,0.15592803894012863,"Ejecutivo=0, Correos=1"
3,0.16406607982635957,"Ejecutivo=0, Correos=2"
3,0.1713871328347853,"Ejecutivo=0, Correos=3"
3,0.17408793095111455,"Ejecutivo=0, Correos=4"
3,0.33904393977687114,"Ejecutivo=1, Correos=0"
3,0.3508649484022135,"Ejecutivo=1, Correos=1"
3,0.3644960439224199,"Ejecutivo=1, Correos=2"
4,0.14229119285821848,"Ejecutivo=0, Correos=0"
4,0.1552227158337122,"Ejecutivo=0, Correos=1"
4,0.16816883750087067,"Ejecutivo=0, Correos=2"
4,0.1743735722941088,"Ejecutivo=0, Correos=3"
4,0.17769395488651993,"Ejecutivo=0, Correos=4"
4,0.34128430490514966,"Ejecutivo=1, Correos=0"
4,0.3568810988168118,"Ejecutivo=1, Correos=1"
4,0.367619012464164,"Ejecutivo=1, Correos=2"
5,0.14230558316005132,"Ejecutivo=0, Correos=0"
