"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Cliente Digital","2019-01","Ejecutivo=0, Correos=0",3041,1043,34.2979283130549,1.74110609826616,5003957.52712923,27.4475501479776,1.53557349759375,4205403.48034516,27.3950143815916,0.0174110609826616,0.0153557349759375,1390498922.55569,1020178016.57458,0.733677674988433
"Cliente Digital","2019-01","Ejecutivo=0, Correos=1",3697,1206,32.6210440898025,1.74311996303377,5076161.93968082,27.4763321612118,1.55955803311126,4223488.24212272,27.6301824212272,0.0174311996303377,0.0155955803311126,1634800088.74804,1215007688.55008,0.743214841320785
"Cliente Digital","2019-01","Ejecutivo=0, Correos=2",3251,1074,33.0359889264842,1.75199544059475,5020625.36634882,27.5164564749308,1.57853286808276,4918953.4972067,27.2811918063315,0.0175199544059475,0.0157853286808276,1449977002.52069,1259882570.21453,0.868898312196887
"Cliente Digital","2019-01","Ejecutivo=0, Correos=3",8307,2864,34.4769471530035,1.75437831116065,5024989.23197303,27.4704466112917,1.55535480980359,4344125.87185754,27.4141061452514,0.0175437831116065,0.0155535480980359,3868870880.31253,2935456381.26582,0.758737231630922
"Cliente Digital","2019-01","Ejecutivo=0, Correos=4",13809,4636,33.5723079151278,1.75327892326469,5399397.79737852,27.5470345426896,1.56447292827798,5170893.45319241,27.7049180327869,0.0175327892326469,0.0156447292827798,6744174893.62188,5753505336.18422,0.853107374428478
"Cliente Digital","2019-01","Ejecutivo=1, Correos=0",3932,1292,32.8585961342828,1.73495443271508,6558900.98753815,27.4654120040692,1.50666541385521,6090588.48297214,27.7825077399381,0.0173495443271508,0.0150666541385521,2250690610.98209,1819796370.16926,0.808550211783747
"Cliente Digital","2019-01","Ejecutivo=1, Correos=1",4549,1436,31.5673774455924,1.75932652483564,6477969.80215432,27.426247526929,1.56833615100812,5198506.58495822,27.5097493036212,0.0175932652483564,0.0156833615100812,2504103132.05675,1783318974.54633,0.712158757247987
"Cliente Digital","2019-01","Ejecutivo=1, Correos=2",27481,8803,32.0330410101525,1.75273601511499,6874105.13875041,27.4488191841636,1.53618167318184,6285970.71362036,27.5559468363058,0.0175273601511499,0.0153618167318184,16238009378.1262,12953559405.5699,0.797730750360284
"Cliente Digital","2019-02","Ejecutivo=0, Correos=0",2861,958,33.4847955260398,1.75469854495509,4904714.6546662,27.4851450541769,1.52483770847833,4597342.43528184,27.7536534446764,0.0175469854495509,0.0152483770847833,1264099628.6701,1030475469.28641,0.815185327101571
"Cliente Digital","2019-02","Ejecutivo=0, Correos=1",3739,1278,34.1802621021664,1.74106390334553,5252616.66515111,27.2318801818668,1.53180483238083,4164057.00078247,27.0312989045383,0.0174106390334553,0.0153180483238083,1773842801.93967,1217663575.75172,0.686455177662993
"Cliente Digital","2019-02","Ejecutivo=0, Correos=2",3168,1075,33.9330808080808,1.74638731607447,4681777.55113636,27.4482323232323,1.56111783804914,4361924.57674419,27.433488372093,0.0174638731607447,0.0156111783804914,1345271151.08692,1111501492.94836,0.826228594919557
"Cliente Digital","2019-02","Ejecutivo=0, Correos=3",8427,2895,34.3538625845497,1.75287044677687,5244335.81701673,27.3672718642459,1.55438460719932,4808972.52642487,27.5450777202073,0.0175287044677687,0.0155438460719932,4061810650.43533,3298724951.89672,0.812131641720714
"Cliente Digital","2019-02","Ejecutivo=0, Correos=4",13711,4660,33.987309459558,1.74895400974036,4966660.11530888,27.4900444898257,1.55491890960083,4534693.19635193,27.4463519313305,0.0174895400974036,0.0155491890960083,6205963365.87422,4990346589.34851,0.804121180732353
"Cliente Digital","2019-02","Ejecutivo=1, Correos=0",3912,1242,31.7484662576687,1.75695623669838,6788815.45526585,27.5577709611452,1.54851585337705,6340572.1747182,27.3357487922705,0.0175695623669838,0.0154851585337705,2277744986.50414,1843896958.63968,0.809527392032448
