"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Buen pagador","2019-01","Ejecutivo=0, Correos=0",2807,903,32.1695760598504,1.75750520079888,5856586.89348058,27.4624153900962,1.54076759839978,5520712.48837209,27.327796234773,0.0175750520079888,0.0154076759839978,1423980490.33241,1160715435.45496,0.815120321756661
"Buen pagador","2019-01","Ejecutivo=0, Correos=1",3264,1029,31.5257352941176,1.73531425475474,5780991.01164216,27.4785539215686,1.51936949338225,4902945.13313897,27.4081632653061,0.0173531425475474,0.0151936949338225,1581072116.81288,1160860771.79683,0.734223796278748
"Buen pagador","2019-01","Ejecutivo=0, Correos=2",2855,908,31.8038528896673,1.75848356751564,5616677.50823117,27.661295971979,1.57057061436849,5003586.89207048,27.1233480176211,0.0175848356751564,0.0157057061436849,1384363496.70559,1071247700.48567,0.773819667330836
"Buen pagador","2019-01","Ejecutivo=0, Correos=3",7051,2356,33.413700184371,1.7485055500428,5513162.37696781,27.483477520919,1.53384978695026,5060867.37563667,27.5831918505942,0.017485055500428,0.0153384978695026,3481032624.16432,2789507957.33764,0.80134496240388
"Buen pagador","2019-01","Ejecutivo=0, Correos=4",11484,3707,32.27969348659,1.74940453502125,5731608.38427377,27.4691745036573,1.53643391982758,5015899.23873752,27.4960884812517,0.0174940453502125,0.0153643391982758,5694233545.56831,4343706870.68479,0.76282555605142
"Buen pagador","2019-01","Ejecutivo=1, Correos=0",4329,1337,30.8847308847309,1.74385377613271,6968753.40679141,27.4566874566875,1.50121893494861,6467895.99102468,27.5205684367988,0.0174385377613271,0.0150121893494861,2487376737.15191,1972843682.30482,0.793142290364813
"Buen pagador","2019-01","Ejecutivo=1, Correos=1",4894,1420,29.0151205557826,1.74991865635269,7122839.77217,27.4006947282387,1.51174435273578,6233864.31971831,27.6422535211268,0.0174991865635269,0.0151174435273578,2704514206.17424,2043785627.40887,0.755694173372442
"Buen pagador","2019-01","Ejecutivo=1, Correos=2",29171,8867,30.3966267868774,1.75192958516257,6894647.15546262,27.4464365294299,1.50339521758744,6444693.7186196,27.4913725047931,0.0175192958516257,0.0150339521758744,16395389568.13,13042790095.8954,0.795515717494658
"Buen pagador","2019-02","Ejecutivo=0, Correos=0",2796,930,33.2618025751073,1.74927829041257,5847228.31545064,27.4896280400572,1.52588951260812,5228221.90537634,27.5795698924731,0.0174927829041257,0.0152588951260812,1458381520.5803,1131112262.38109,0.775594209347229
"Buen pagador","2019-02","Ejecutivo=0, Correos=1",3354,1096,32.6774001192606,1.74177736388999,5881752.33243888,27.3079904591532,1.50692942332985,4763962.01277372,27.2271897810219,0.0174177736388999,0.0150692942332985,1709120918.30489,1182878820.87873,0.692097796130133
"Buen pagador","2019-02","Ejecutivo=0, Correos=2",2680,867,32.3507462686567,1.74911164798127,5475759.51679104,27.4347014925373,1.54532424426919,5041607.56401384,27.3783160322953,0.0174911164798127,0.0154532424426919,1270445080.36638,1022866308.12568,0.805124380371248
"Buen pagador","2019-02","Ejecutivo=0, Correos=3",7152,2347,32.8159955257271,1.73786026390219,5734840.34997204,27.4836409395973,1.516215539321,5217152.64294844,27.5611418832552,0.0173786026390219,0.01516215539321,3583708256.65165,2827379238.31665,0.788953518487117
"Buen pagador","2019-02","Ejecutivo=0, Correos=4",11365,3603,31.7025956885174,1.75023434029831,5648821.42736472,27.5185217773867,1.52662569914083,4899784.97085762,27.6269775187344,0.0175023434029831,0.0152662569914083,5467485979.51421,4116239136.07939,0.75285773964529
"Buen pagador","2019-02","Ejecutivo=1, Correos=0",4449,1292,29.0402337603956,1.75512212026398,6910114.05079793,27.60665318049,1.50498261252941,6806591.00851393,27.3583591331269,0.0175512212026398,0.0150498261252941,2413521058.6895,1999418773.11134,0.828424001486437
"Buen pagador","2019-02","Ejecutivo=1, Correos=1",4961,1509,30.417254585769,1.74869714641029,6795505.51723443,27.5349727877444,1.50633154903088,6289054.28827038,27.1669980119284,0.0174869714641029,0.0150633154903088,2753834030.23057,2144201012.8976,0.778623907381256
"Buen pagador","2019-02","Ejecutivo=1, Correos=2",29399,8830,30.0350352052791,1.7510266290429,6929373.99959182,27.4759345555971,1.50295659954559,6211976.58550396,27.4095130237826,0.017510266290429,0.0150295659954559,16418457928.2924,12477159745.7211,0.759947115631392
"Buen pagador","2019-03","Ejecutivo=0, Correos=0",2886,909,31.4968814968815,1.76544603595997,5501332.35169785,27.3544698544699,1.55348197338845,4988363.14851485,27.3102310231023,0.0176544603595997,0.0155348197338845,1347481231.71653,1064309535.92144,0.789851102093375
"Buen pagador","2019-03","Ejecutivo=0, Correos=1",3229,1065,32.9823474759988,1.75601055113395,5460512.64385259,27.4289253638897,1.52694440871933,4758994.54553991,27.2835680751174,0.0175601055113395,0.0152694440871933,1562461441.48238,1166887311.29915,0.746826309001307
"Buen pagador","2019-03","Ejecutivo=0, Correos=2",2735,874,31.9561243144424,1.74373083591571,5559425.15137111,27.7162705667276,1.50309273875803,4985833.20938215,27.6086956521739,0.0174373083591571,0.0150309273875803,1309802432.04762,998735691.703657,0.762508655707969
