"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Propension alta","2019-01","Ejecutivo=0, Correos=0",2835,930,32.8042328042328,1.75460841372535,6083742.06560847,27.5587301587302,1.55329887218781,6161925.65698925,27.6903225806452,0.0175460841372535,0.0155329887218781,1526291477.39374,1364195760.64889,0.893797666339827
"Propension alta","2019-01","Ejecutivo=0, Correos=1",3339,1141,34.1719077568134,1.73636293276781,5835286.75561545,27.4501347708895,1.53730218844771,4529299.78001753,27.5416301489921,0.0173636293276781,0.0153730218844771,1768871246.35901,1210059335.07877,0.684085592758386
"Propension alta","2019-01","Ejecutivo=0, Correos=2",2719,913,33.578521515263,1.74965502844617,5234816.22876057,27.5060684075028,1.56947219630093,5217948.15881709,27.0339539978094,0.0174965502844617,0.0156947219630093,1282861951.54381,1118649608.86437,0.87199531291592
"Propension alta","2019-01","Ejecutivo=0, Correos=3",6858,2380,34.7039953339166,1.74408866105063,5599075.36453777,27.5511811023622,1.55359180010942,5560291.30756303,27.5004201680672,0.0174408866105063,0.0155359180010942,3570748985.65758,3128657598.96171,0.87619085282343
"Propension alta","2019-01","Ejecutivo=0, Correos=4",10975,3739,34.0683371298406,1.7537692675044,6180797.47252847,27.5646469248292,1.56978058064403,5644316.67745386,27.5659267183739,0.017537692675044,0.0156978058064403,6232441537.53178,5057100546.03988,0.811415641139352
"Propension alta","2019-01","Ejecutivo=1, Correos=0",3090,1015,32.8478964401294,1.74510314076629,8390012.1631068,27.5135922330097,1.50544041864544,7365725.08472906,27.7674876847291,0.0174510314076629,0.0150544041864544,2280076550.88043,1726496799.4779,0.757210015080952
"Propension alta","2019-01","Ejecutivo=1, Correos=1",3408,1076,31.5727699530516,1.75027791855327,7755224.07951878,27.3667840375587,1.55269229738533,6380607.16263941,27.3373605947955,0.0175027791855327,0.0155269229738533,2228905789.04048,1612240403.26088,0.723332682425724
"Propension alta","2019-01","Ejecutivo=1, Correos=2",20818,6738,32.3662215390527,1.74925849018177,7876091.39312134,27.4047458929772,1.53061479951912,7425976.97061443,27.4762540813298,0.0174925849018177,0.0153061479951912,14186682720.7048,11633247559.9158,0.820011822985062
"Propension alta","2019-02","Ejecutivo=0, Correos=0",2758,921,33.3937635968093,1.75544235880613,5441251.60079768,27.5837563451777,1.55221673487534,5200674.54180239,27.8816503800217,0.0175544235880613,0.0155221673487534,1353855661.84363,1147517369.09653,0.847592104119786
"Propension alta","2019-02","Ejecutivo=0, Correos=1",3362,1180,35.0981558596074,1.73807267953346,5912984.84622249,27.2998215348007,1.52349606249181,4629893.92542373,27.228813559322,0.0173807267953346,0.0152349606249181,1845104966.98314,1252211940.44347,0.678667047593996
"Propension alta","2019-02","Ejecutivo=0, Correos=2",2654,902,33.9864355689525,1.74454203513495,5411896.07196684,27.4837980406933,1.56314161781514,4836602.60421286,27.380266075388,0.0174454203513495,0.0156314161781514,1305085838.32836,1033473286.8591,0.791881465960004
"Propension alta","2019-02","Ejecutivo=0, Correos=3",6776,2290,33.7957497048406,1.74942665026005,6034596.75546045,27.4703364817001,1.55775347237374,5376232.40480349,27.5275109170306,0.0174942665026005,0.0155775347237374,3703777219.00267,2921948434.65083,0.788910418169705
