"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Promedio_Ventas","Monto_Promedio_Ventas","Plazo_Promedio_Ventas","Tasa_Prom","Tasa_Prom_Ventas","Revenue_Potencial","Revenue_Potencial_Ventas","Tasa_Revenue"
"Renta Alta","2019-01","Ejecutivo=0, Correos=0",1054,321,30.4554079696395,1.74664897532008,21909140.9089184,27.449715370019,1.51176665560516,22439269.1214953,27.2990654205607,0.0174664897532008,0.0151176665560516,1880247016.08129,1641830562.21889,0.873199397832685
"Renta Alta","2019-01","Ejecutivo=0, Correos=1",1225,351,28.6530612244898,1.75203384280404,21747860.1191837,27.4669387755102,1.52173242713383,18936898.9344729,27.0598290598291,0.0175203384280404,0.0152173242713383,2048900467.1627,1511915441.76706,0.737915514198086
"Renta Alta","2019-01","Ejecutivo=0, Correos=2",1035,314,30.3381642512077,1.75087008613674,20988986.8821256,27.0657004830918,1.51134958269118,21068207.9904459,26.6687898089172,0.0175087008613674,0.0151134958269118,1740929627.93139,1471720064.42977,0.845364477011343
"Renta Alta","2019-01","Ejecutivo=0, Correos=3",2579,799,30.9810003877472,1.75490446173907,21250365.0984878,27.5126017836371,1.49746587601714,21975251.2640801,27.4355444305382,0.0175490446173907,0.0149746587601714,4573197134.066,3982391222.59718,0.870811186539965
"Renta Alta","2019-01","Ejecutivo=0, Correos=4",4447,1388,31.212053069485,1.75756041928242,22178499.0344052,27.4265797166629,1.54382182332829,21613930.3530259,27.5244956772334,0.0175756041928242,0.0154382182332829,8277882415.45893,7051592324.15289,0.851859445476546
"Renta Alta","2019-01","Ejecutivo=1, Correos=0",1918,564,29.4056308654849,1.74029030302495,25358964.9410845,27.3576642335766,1.47326718133328,25109246.4148936,27.2677304964539,0.0174029030302495,0.0147326718133328,3795666693.7141,3137179609.6526,0.826516093957354
"Renta Alta","2019-01","Ejecutivo=1, Correos=1",2207,606,27.4580879021296,1.75648603071921,23708982.7149977,27.4019030357952,1.51189118717536,21811918.3679868,27.6584158415842,0.0175648603071921,0.0151189118717536,3857387974.91432,3053952172.97857,0.791715065437875
"Renta Alta","2019-01","Ejecutivo=1, Correos=2",12759,3736,29.2812916372756,1.74800014975025,25088191.6593777,27.4069284426679,1.48039022916648,24720439.5302463,27.4689507494647,0.0174800014975025,0.0148039022916648,25038999303.7072,20719955224.4129,0.827507320603867
"Renta Alta","2019-02","Ejecutivo=0, Correos=0",1037,315,30.3760848601736,1.78756546758364,20396570.9093539,27.6634522661524,1.54454504955097,20248637.7714286,28.3555555555556,0.0178756546758364,0.0154454504955097,1775076252.13155,1546727878.49828,0.871358555240058
"Renta Alta","2019-02","Ejecutivo=0, Correos=1",1283,404,31.4886983632112,1.72917105782862,21617998.994544,27.0615744349182,1.46608866234827,19054833.7871287,26.6782178217822,0.0172917105782862,0.0146608866234827,2276156049.10588,1658951224.6686,0.728838967486552
