"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Prom","Revenue_Potencial"
"Cliente Digital","2019-01","Ejecutivo=0, Correos=0",3041,1043,34.2979283130549,1.74110609826616,5003957.52712923,27.4475501479776,0.0174110609826616,1390498922.55569
"Cliente Digital","2019-01","Ejecutivo=0, Correos=1",3697,1206,32.6210440898025,1.74311996303377,5076161.93968082,27.4763321612118,0.0174311996303377,1634800088.74804
"Cliente Digital","2019-01","Ejecutivo=0, Correos=2",3251,1074,33.0359889264842,1.75199544059475,5020625.36634882,27.5164564749308,0.0175199544059475,1449977002.52069
"Cliente Digital","2019-01","Ejecutivo=0, Correos=3",8307,2864,34.4769471530035,1.75437831116065,5024989.23197303,27.4704466112917,0.0175437831116065,3868870880.31253
"Cliente Digital","2019-01","Ejecutivo=0, Correos=4",13809,4636,33.5723079151278,1.75327892326469,5399397.79737852,27.5470345426896,0.0175327892326469,6744174893.62188
"Cliente Digital","2019-01","Ejecutivo=1, Correos=0",3932,1292,32.8585961342828,1.73495443271508,6558900.98753815,27.4654120040692,0.0173495443271508,2250690610.98209
"Cliente Digital","2019-01","Ejecutivo=1, Correos=1",4549,1436,31.5673774455924,1.75932652483564,6477969.80215432,27.426247526929,0.0175932652483564,2504103132.05675
"Cliente Digital","2019-01","Ejecutivo=1, Correos=2",27481,8803,32.0330410101525,1.75273601511499,6874105.13875041,27.4488191841636,0.0175273601511499,16238009378.1262
"Cliente Digital","2019-02","Ejecutivo=0, Correos=0",2861,958,33.4847955260398,1.75469854495509,4904714.6546662,27.4851450541769,0.0175469854495509,1264099628.6701
"Cliente Digital","2019-02","Ejecutivo=0, Correos=1",3739,1278,34.1802621021664,1.74106390334553,5252616.66515111,27.2318801818668,0.0174106390334553,1773842801.93967
"Cliente Digital","2019-02","Ejecutivo=0, Correos=2",3168,1075,33.9330808080808,1.74638731607447,4681777.55113636,27.4482323232323,0.0174638731607447,1345271151.08692
"Cliente Digital","2019-02","Ejecutivo=0, Correos=3",8427,2895,34.3538625845497,1.75287044677687,5244335.81701673,27.3672718642459,0.0175287044677687,4061810650.43533
"Cliente Digital","2019-02","Ejecutivo=0, Correos=4",13711,4660,33.987309459558,1.74895400974036,4966660.11530888,27.4900444898257,0.0174895400974036,6205963365.87422
"Cliente Digital","2019-02","Ejecutivo=1, Correos=0",3912,1242,31.7484662576687,1.75695623669838,6788815.45526585,27.5577709611452,0.0175695623669838,2277744986.50414
"Cliente Digital","2019-02","Ejecutivo=1, Correos=1",4567,1462,32.012261878695,1.74940464639778,6356663.45456536,27.4317932997591,0.0174940464639778,2487133252.81895
"Cliente Digital","2019-02","Ejecutivo=1, Correos=2",27774,9021,32.4800172823504,1.75081543108292,6742883.61287535,27.4763447828905,0.0175081543108292,16320320977.8951
"Cliente Digital","2019-03","Ejecutivo=0, Correos=0",3106,1031,33.1938184159691,1.77360667647725,4589939.73567289,27.494204764971,0.0177360667647725,1288244071.31623
"Cliente Digital","2019-03","Ejecutivo=0, Correos=1",3511,1183,33.6941042438052,1.75254856230161,4904288.06294503,27.4417544859015,0.0175254856230161,1556255562.2637
"Cliente Digital","2019-03","Ejecutivo=0, Correos=2",3217,1067,33.1675474044141,1.75301403326502,4732445.69723345,27.5903015231582,0.0175301403326502,1362472173.11888
"Cliente Digital","2019-03","Ejecutivo=0, Correos=3",8463,2853,33.7114498404821,1.75164891869379,4901617.42668085,27.4889519083067,0.0175164891869379,3755756624.69011
"Cliente Digital","2019-03","Ejecutivo=0, Correos=4",13926,4710,33.8216286083585,1.75311929409741,5088563.82170042,27.5109148355594,0.0175311929409741,6447959598.27252
"Cliente Digital","2019-03","Ejecutivo=1, Correos=0",4059,1238,30.50012318305,1.75307878277708,6446575.90613452,27.5693520571569,0.0175307878277708,2151800205.15704
"Cliente Digital","2019-03","Ejecutivo=1, Correos=1",4572,1508,32.9833770778653,1.75109496766422,6848255.0540245,27.4050743657043,0.0175109496766422,2763841789.63747
"Cliente Digital","2019-03","Ejecutivo=1, Correos=2",27650,9014,32.6003616636528,1.74746347204637,6727077.62086799,27.5126220614828,0.0174746347204637,16258362442.021
"Cliente Digital","2019-04","Ejecutivo=0, Correos=0",3053,1013,33.1804782181461,1.75429159272628,5040990.48935473,27.2967572879135,0.0175429159272628,1363703329.05688
"Cliente Digital","2019-04","Ejecutivo=0, Correos=1",3710,1208,32.5606469002695,1.76435797227853,5015556.81644205,27.6153638814016,0.0176435797227853,1647675105.23417
"Cliente Digital","2019-04","Ejecutivo=0, Correos=2",3154,1083,34.3373493975904,1.75325693928907,4767874.07324033,27.4923906150919,0.0175325693928907,1388328426.37754
"Cliente Digital","2019-04","Ejecutivo=0, Correos=3",8374,2838,33.8906138046334,1.74705895645895,4878450.87831383,27.4302603295916,0.0174705895645895,3699715789.18841
"Cliente Digital","2019-04","Ejecutivo=0, Correos=4",13819,4612,33.374339677256,1.75126967202873,5052474.05174036,27.5150155582893,0.0175126967202873,6262911572.63064
"Cliente Digital","2019-04","Ejecutivo=1, Correos=0",4001,1319,32.9667583104224,1.74715623649738,6739963.04498875,27.4448887778055,0.0174715623649738,2377072732.59372
"Cliente Digital","2019-04","Ejecutivo=1, Correos=1",4524,1498,33.1122900088417,1.74601442577961,6616226.30327144,27.6511936339523,0.0174601442577961,2668914515.69023
"Cliente Digital","2019-04","Ejecutivo=1, Correos=2",27425,8882,32.3865086599818,1.75218893999966,6635351.51522334,27.4085323609845,0.0175218893999966,15785327363.0975
"Cliente Digital","2019-05","Ejecutivo=0, Correos=0",2977,977,32.8182734296271,1.76389959515607,4828043.38394357,27.4622102788042,0.0176389959515607,1275034136.01532
"Cliente Digital","2019-05","Ejecutivo=0, Correos=1",3648,1286,35.2521929824561,1.73600996589654,5079732.00712719,27.4602521929825,0.0173600996589654,1735808269.02873
"Cliente Digital","2019-05","Ejecutivo=0, Correos=2",3131,1067,34.0785691472373,1.74833301831296,4827732.03768764,27.2484829128074,0.0174833301831296,1368122035.71864
"Cliente Digital","2019-05","Ejecutivo=0, Correos=3",8359,2808,33.5925349922239,1.75683039566593,5029464.43318579,27.4354587869362,0.0175683039566593,3797251515.06357
"Cliente Digital","2019-05","Ejecutivo=0, Correos=4",13828,4714,34.0902516632919,1.74895406308161,5159200.63400347,27.4502458779288,0.0174895406308161,6511452178.5736
"Cliente Digital","2019-05","Ejecutivo=1, Correos=0",3957,1288,32.5499115491534,1.75521656689579,6627731.63179176,27.5079605761941,0.0175521656689579,2299291814.59716
"Cliente Digital","2019-05","Ejecutivo=1, Correos=1",4592,1519,33.0792682926829,1.75287083647772,6586692.4375,27.4512195121951,0.0175287083647772,2685259272.32254
"Cliente Digital","2019-05","Ejecutivo=1, Correos=2",27796,9050,32.5586415311556,1.74761816055141,6779476.14228666,27.5490718088934,0.0174761816055141,16474622948.147
"Cliente Digital","2019-06","Ejecutivo=0, Correos=0",2939,997,33.9231030962913,1.76143231563742,5415409.45899966,27.6250425314733,0.0176143231563742,1466217770.49205
"Cliente Digital","2019-06","Ejecutivo=0, Correos=1",3656,1206,32.9868708971554,1.75406771133213,4890752.89223195,27.5172319474836,0.0175406771133213,1588122623.20102
"Cliente Digital","2019-06","Ejecutivo=0, Correos=2",3182,1077,33.8466373350094,1.73960490506578,4775925.9902577,27.62256442489,0.0173960490506578,1378192715.8785
"Cliente Digital","2019-06","Ejecutivo=0, Correos=3",8415,2869,34.0938799762329,1.73791943575293,5209422.16803327,27.5511586452763,0.0173791943575293,3989695852.61396
"Cliente Digital","2019-06","Ejecutivo=0, Correos=4",13731,4649,33.8576942684437,1.74920011044067,5010988.64161387,27.536013400335,0.0174920011044067,6258357539.7032
"Cliente Digital","2019-06","Ejecutivo=1, Correos=0",3996,1311,32.8078078078078,1.75219937881493,6614660.51801802,27.5908408408408,0.0175219937881493,2338732926.03838
"Cliente Digital","2019-06","Ejecutivo=1, Correos=1",4488,1417,31.5730837789661,1.75327263820267,6573489.19942068,27.6559714795009,0.0175327263820267,2519905229.0378
"Cliente Digital","2019-06","Ejecutivo=1, Correos=2",27693,8979,32.4233560827646,1.75450974068792,6697268.05770411,27.4653883652909,0.0175450974068792,16164174499.0851
"Cliente Digital","2019-07","Ejecutivo=0, Correos=0",2922,974,33.3333333333333,1.74756861073999,4687704.25906913,27.6731690622861,0.0174756861073999,1231695662.98547
"Cliente Digital","2019-07","Ejecutivo=0, Correos=1",3770,1274,33.7931034482759,1.74594172616459,5055286.03076923,27.4954907161804,0.0174594172616459,1724100178.14752
"Cliente Digital","2019-07","Ejecutivo=0, Correos=2",3210,1094,34.0809968847352,1.74341718728834,4665066.01401869,27.3869158878505,0.0174341718728834,1358524571.1647
"Cliente Digital","2019-07","Ejecutivo=0, Correos=3",8443,2889,34.2176951320621,1.7462565189195,4802517.4082672,27.5580954636977,0.017462565189195,3723683525.20458
"Cliente Digital","2019-07","Ejecutivo=0, Correos=4",13851,4637,33.4777272399105,1.75903186476326,4914849.87856472,27.3494332539167,0.0175903186476326,6115953088.4433
"Cliente Digital","2019-07","Ejecutivo=1, Correos=0",3937,1249,31.7246634493269,1.76255521878636,7306629.96748793,27.2867665735331,0.0176255521878636,2448455035.73279
"Cliente Digital","2019-07","Ejecutivo=1, Correos=1",4540,1463,32.2246696035242,1.74798428753409,6981415.52488987,27.5273127753304,0.0174798428753409,2740941094.64014
"Cliente Digital","2019-07","Ejecutivo=1, Correos=2",27719,9089,32.7897831812114,1.75019931503337,6769574.38240918,27.4848659764061,0.0175019931503337,16507529149.0177
"Cliente Digital","2019-08","Ejecutivo=0, Correos=0",3043,1015,33.355241537956,1.7586962573052,4981457.72592836,27.4847190272757,0.017586962573052,1363562462.59627
"Cliente Digital","2019-08","Ejecutivo=0, Correos=1",3653,1280,35.0396934026827,1.74306782540116,5062542.73993978,27.4809745414728,0.0174306782540116,1730703967.69454
"Cliente Digital","2019-08","Ejecutivo=0, Correos=2",3169,1107,34.9321552540233,1.73517249084402,4777081.93089303,27.4525086778163,0.0173517249084402,1404039063.71746
"Cliente Digital","2019-08","Ejecutivo=0, Correos=3",8439,2826,33.4873800213295,1.75186801917892,4980390.5998341,27.3710155231663,0.0175186801917892,3763674869.17384
"Cliente Digital","2019-08","Ejecutivo=0, Correos=4",13834,4668,33.7429521468845,1.74399177113983,5060311.58168281,27.3920774902414,0.0174399177113983,6291271273.21178
"Cliente Digital","2019-08","Ejecutivo=1, Correos=0",3943,1260,31.9553639360893,1.75888287908334,7153793.22571646,27.3195536393609,0.0175888287908334,2415971126.38694
"Cliente Digital","2019-08","Ejecutivo=1, Correos=1",4604,1437,31.2119895742832,1.74821216052587,6662087.81320591,27.631190269331,0.0174821216052587,2579513622.81727
"Cliente Digital","2019-08","Ejecutivo=1, Correos=2",27592,8745,31.693969266454,1.75093927361501,6741226.92592056,27.4843795302986,0.0175093927361501,15823107123.6038
"Cliente Digital","2019-09","Ejecutivo=0, Correos=0",3050,1069,35.0491803278689,1.74380968010061,5150090.57704918,27.2770491803279,0.0174380968010061,1459751490.03146
"Cliente Digital","2019-09","Ejecutivo=0, Correos=1",3744,1243,33.1997863247863,1.75090440695848,4725209.36752137,27.5918803418803,0.0175090440695848,1582836199.79075
"Cliente Digital","2019-09","Ejecutivo=0, Correos=2",3268,1090,33.3537331701346,1.75563211377403,4759206.5997552,27.4908200734394,0.0175563211377403,1396700664.62686
"Cliente Digital","2019-09","Ejecutivo=0, Correos=3",8413,2855,33.9355758944491,1.7515815545648,5193475.66646856,27.5900392250089,0.017515815545648,3997215845.10146
"Cliente Digital","2019-09","Ejecutivo=0, Correos=4",13793,4661,33.7925034437758,1.75278629345838,4860974.61581962,27.5428115710868,0.0175278629345838,6101587063.28726
"Cliente Digital","2019-09","Ejecutivo=1, Correos=0",3958,1273,32.1627084386054,1.74999802565209,6787722.71601819,27.311015664477,0.0174999802565209,2302736639.15396
"Cliente Digital","2019-09","Ejecutivo=1, Correos=1",4555,1454,31.9209659714599,1.74616022497654,6572930.49023052,27.5833150384193,0.0174616022497654,2567240108.56664
"Cliente Digital","2019-09","Ejecutivo=1, Correos=2",27601,9048,32.7814209630086,1.74474966836148,6613510.85562117,27.5024093329952,0.0174474966836148,16011356484.5265
"Cliente Digital","2019-10","Ejecutivo=0, Correos=0",2919,993,34.0184994861254,1.74047781744693,4968598.36416581,27.48098663926,0.0174047781744693,1315639238.54789
"Cliente Digital","2019-10","Ejecutivo=0, Correos=1",3694,1249,33.8115863562534,1.73081910023302,4894240.09177044,27.5081212777477,0.0173081910023302,1622041055.30584
"Cliente Digital","2019-10","Ejecutivo=0, Correos=2",3275,1146,34.9923664122137,1.73658854991834,4958667.06351145,27.6106870229008,0.0173658854991834,1519099373.17251
"Cliente Digital","2019-10","Ejecutivo=0, Correos=3",8331,2733,32.8051854519265,1.74852619219863,4806863.43872284,27.4046332973233,0.0174852619219863,3510299548.06468
"Cliente Digital","2019-10","Ejecutivo=0, Correos=4",13920,4775,34.3031609195402,1.75090137159545,4914721.61997126,27.5122126436782,0.0175090137159545,6305383957.97596
"Cliente Digital","2019-10","Ejecutivo=1, Correos=0",3964,1286,32.4419778002018,1.74319782131501,6616863.14984864,27.3514127144299,0.0174319782131501,2261740226.9222
