"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Prom","Revenue_Potencial"
"Alta","2019-01","Ejecutivo=0, Correos=0",1400,563,40.2142857142857,1.75147374031069,2918710.60357143,27.6428571428571,0.0175147374031069,443840330.075744
"Alta","2019-01","Ejecutivo=0, Correos=1",1693,677,39.9881866509155,1.75670535725167,3038990.8511518,27.629651506202,0.0175670535725167,557206462.369239
"Alta","2019-01","Ejecutivo=0, Correos=2",1444,578,40.0277008310249,1.74005517477832,2841362.34072022,27.558864265928,0.0174005517477832,439107280.898916
"Alta","2019-01","Ejecutivo=0, Correos=3",3640,1455,39.9725274725275,1.7545377694241,2886245.71126374,27.5521978021978,0.017545377694241,1132542263.14717
"Alta","2019-01","Ejecutivo=0, Correos=4",5848,2334,39.9110807113543,1.75368422980356,3078490.04548564,27.4644322845417,0.0175368422980356,1930332523.15582
"Alta","2019-01","Ejecutivo=1, Correos=0",1585,687,43.3438485804416,1.74183424913849,3154859.47823344,27.6700315457413,0.0174183424913849,582562530.651726
"Alta","2019-01","Ejecutivo=1, Correos=1",1913,791,41.3486670151594,1.75338632347299,3062389.30527967,27.874542603241,0.0175338632347299,660750959.809888
"Alta","2019-01","Ejecutivo=1, Correos=2",11035,4414,40,1.75100473487816,2943013.78985048,27.3342999546896,0.0175100473487815,3467108362.25293
"Alta","2019-02","Ejecutivo=0, Correos=0",1441,572,39.6946564885496,1.76095875498757,3030833.21721027,27.5752949340736,0.0176095875498757,469777227.543904
"Alta","2019-02","Ejecutivo=0, Correos=1",1672,704,42.1052631578947,1.740089471437,3068717.45394737,27.1525119617225,0.01740089471437,568806319.47241
"Alta","2019-02","Ejecutivo=0, Correos=2",1329,569,42.8141459744169,1.75186746532037,2933419.54251317,27.4085778781038,0.0175186746532037,446972545.930012
"Alta","2019-02","Ejecutivo=0, Correos=3",3609,1432,39.6785813244666,1.74863686103467,2976645.24715988,27.4937655860349,0.0174863686103467,1142893351.83258
"Alta","2019-02","Ejecutivo=0, Correos=4",5960,2391,40.1174496644295,1.75296665236947,2961047.6909396,27.516610738255,0.0175296665236947,1904951971.4586
"Alta","2019-02","Ejecutivo=1, Correos=0",1633,661,40.4776484996938,1.75798633944634,2987816.51928965,27.3110838946724,0.0175798633944634,528887889.09271
"Alta","2019-02","Ejecutivo=1, Correos=1",1869,712,38.0952380952381,1.75800248962251,2911130.63081862,27.6313536650615,0.0175800248962251,561837435.898107
"Alta","2019-02","Ejecutivo=1, Correos=2",11172,4526,40.5119942713928,1.75026851593593,2987267.79851414,27.4729681346223,0.0175026851593593,3625905752.71289
"Alta","2019-03","Ejecutivo=0, Correos=0",1461,556,38.0561259411362,1.76120020415323,2979293.50239562,27.1786447638604,0.0176120020415323,442236503.212008
"Alta","2019-03","Ejecutivo=0, Correos=1",1631,655,40.1594114040466,1.75862550063787,2974254.66830166,27.3764561618639,0.0175862550063787,523207566.733492
"Alta","2019-03","Ejecutivo=0, Correos=2",1364,552,40.4692082111437,1.73892822416295,3127133.42595308,27.7272727272727,0.0173892822416295,464138204.030672
"Alta","2019-03","Ejecutivo=0, Correos=3",3638,1471,40.4343045629467,1.75799294568905,3026724.55937328,27.4670148433205,0.0175799294568905,1199393569.50794
"Alta","2019-03","Ejecutivo=0, Correos=4",5960,2421,40.6208053691275,1.75241488250902,2987094.12332215,27.4280201342282,0.0175241488250902,1938665225.35424
"Alta","2019-03","Ejecutivo=1, Correos=0",1722,632,36.7015098722416,1.76612903187584,2936090.28222997,27.8066202090592,0.0176612903187584,508807889.078617
"Alta","2019-03","Ejecutivo=1, Correos=1",1909,754,39.4971189104243,1.73757653106432,3119251.97014144,27.5453116815086,0.0173757653106432,627558462.239425
"Alta","2019-03","Ejecutivo=1, Correos=2",11224,4486,39.967925873129,1.74732251054981,3005744.39682823,27.4163399857448,0.0174732251054981,3601858732.78356
"Alta","2019-04","Ejecutivo=0, Correos=0",1434,572,39.8884239888424,1.76469915011296,2873660.11924686,27.3898186889819,0.0176469915011296,443310442.182851
"Alta","2019-04","Ejecutivo=0, Correos=1",1632,655,40.1348039215686,1.76269191794736,2832385.43382353,27.3210784313725,0.0176269191794736,498435100.341229
"Alta","2019-04","Ejecutivo=0, Correos=2",1384,568,41.0404624277457,1.74349908724425,2805778.17846821,27.1900289017341,0.0174349908724425,421081920.648797
"Alta","2019-04","Ejecutivo=0, Correos=3",3592,1398,38.9198218262806,1.74797873695504,2909700.44265033,27.3418708240535,0.0174797873695504,1083976133.65387
"Alta","2019-04","Ejecutivo=0, Correos=4",5895,2321,39.3723494486853,1.73604998630751,2919376.55267176,27.5972858354538,0.0173604998630751,1809834987.45331
"Alta","2019-04","Ejecutivo=1, Correos=0",1740,709,40.7471264367816,1.74441181529908,2984705.26034483,27.7902298850575,0.0174441181529908,572263079.397477
"Alta","2019-04","Ejecutivo=1, Correos=1",1826,748,40.9638554216867,1.75720266816156,3078989.92223439,27.6544359255203,0.0175720266816156,624516639.136811
"Alta","2019-04","Ejecutivo=1, Correos=2",11084,4390,39.6066402020931,1.74970474563887,3030238.84283652,27.4214182605558,0.0174970474563887,3559369239.63127
"Alta","2019-05","Ejecutivo=0, Correos=0",1424,567,39.8174157303371,1.75695831717774,3141295.98384831,27.2675561797753,0.0175695831717774,475893493.791723
"Alta","2019-05","Ejecutivo=0, Correos=1",1739,717,41.2305922944221,1.745315924348,2903411.3640023,27.5790684301323,0.01745315924348,558826059.813757
"Alta","2019-05","Ejecutivo=0, Correos=2",1354,571,42.1713441654357,1.75876802698242,3028075.79025111,27.3360413589365,0.0175876802698242,463691591.671628
"Alta","2019-05","Ejecutivo=0, Correos=3",3645,1449,39.7530864197531,1.75099535004799,2998755.37119342,27.4115226337449,0.0175099535004799,1163110385.63272
"Alta","2019-05","Ejecutivo=0, Correos=4",6013,2375,39.4977548644603,1.75508561776701,2999412.30783303,27.3304506901713,0.0175508561776701,1905725534.70975
"Alta","2019-05","Ejecutivo=1, Correos=0",1613,646,40.0495970241786,1.75929990216,2997432.82455053,27.2634841909485,0.0175929990216,518025527.465324
"Alta","2019-05","Ejecutivo=1, Correos=1",1934,787,40.6928645294726,1.76655297293677,2999725.17166494,27.4203722854188,0.0176655297293677,638150888.835296
"Alta","2019-05","Ejecutivo=1, Correos=2",11214,4464,39.8073836276083,1.74545205663027,2984005.3580346,27.53772070626,0.0174545205663027,3570529061.18363
"Alta","2019-06","Ejecutivo=0, Correos=0",1435,569,39.6515679442509,1.7550542519766,3067964.42508711,27.802787456446,0.017550542519766,475381391.453182
"Alta","2019-06","Ejecutivo=0, Correos=1",1692,664,39.2434988179669,1.74764613769239,3086739.47754137,27.4887706855792,0.0174764613769239,549108907.95198
"Alta","2019-06","Ejecutivo=0, Correos=2",1374,536,39.0101892285298,1.75483982005274,3007876.98107715,27.5443959243086,0.0175483982005274,434745675.714128
"Alta","2019-06","Ejecutivo=0, Correos=3",3705,1493,40.2968960863698,1.74945448024944,2863746.61187584,27.3894736842105,0.0174945448024944,1142442491.36416
"Alta","2019-06","Ejecutivo=0, Correos=4",5829,2402,41.2077543317893,1.75980483894101,2944265.24429576,27.6035340538686,0.0175980483894101,1917082673.99867
"Alta","2019-06","Ejecutivo=1, Correos=0",1711,699,40.8533021624781,1.75334423276915,2940784.06428989,27.3062536528346,0.0175334423276915,548833633.027125
"Alta","2019-06","Ejecutivo=1, Correos=1",1900,775,40.7894736842105,1.72926092967864,3031881.56473684,27.5668421052632,0.0172926092967864,624267253.015545
"Alta","2019-06","Ejecutivo=1, Correos=2",11032,4472,40.5366207396664,1.74997719507289,2919062.7352248,27.4607505438724,0.0174997719507289,3498607353.80834
"Alta","2019-07","Ejecutivo=0, Correos=0",1359,523,38.4841795437822,1.74669584018121,2849260.71008094,27.8101545253863,0.0174669584018121,403843896.495403
"Alta","2019-07","Ejecutivo=0, Correos=1",1699,625,36.7863449087699,1.74676364244017,3076207.23837552,27.3702177751619,0.0174676364244017,512511681.058826
"Alta","2019-07","Ejecutivo=0, Correos=2",1432,570,39.804469273743,1.72782721338855,3139115.1222067,27.4287709497207,0.0172782721338855,472489255.823705
"Alta","2019-07","Ejecutivo=0, Correos=3",3516,1429,40.6427758816837,1.75508575949014,2933376.3387372,27.5218998862344,0.0175508575949014,1129554326.10201
"Alta","2019-07","Ejecutivo=0, Correos=4",6009,2447,40.7222499583957,1.75988997608721,3082179.10184723,27.4027292394741,0.0175988997608721,2029143424.63336
"Alta","2019-07","Ejecutivo=1, Correos=0",1626,651,40.0369003690037,1.76899896961051,3043181.94772448,27.5719557195572,0.0176899896961051,539393876.739872
"Alta","2019-07","Ejecutivo=1, Correos=1",1862,731,39.2588614393126,1.73685613281313,2978026.29538131,27.4452201933405,0.0173685613281313,578422918.489995
"Alta","2019-07","Ejecutivo=1, Correos=2",11153,4501,40.3568546579396,1.75522405176928,2944394.92073881,27.4350398995786,0.0175522405176928,3559784352.32616
"Alta","2019-08","Ejecutivo=0, Correos=0",1430,598,41.8181818181818,1.74575492526225,3123251.05874126,27.6006993006993,0.0174575492526225,501911713.929141
"Alta","2019-08","Ejecutivo=0, Correos=1",1744,687,39.3922018348624,1.76052058206915,3114561.15481651,27.5877293577982,0.0176052058206915,579929464.755758
"Alta","2019-08","Ejecutivo=0, Correos=2",1376,550,39.9709302325581,1.74109145841226,3052081.81831395,27.3263081395349,0.0174109145841226,445177787.749581
"Alta","2019-08","Ejecutivo=0, Correos=3",3570,1432,40.1120448179272,1.75319008981665,3017979.11064426,27.2470588235294,0.0175319008981665,1151174587.61419
"Alta","2019-08","Ejecutivo=0, Correos=4",5911,2296,38.8428353916427,1.75224504364508,2924245.56640162,27.554390120115,0.0175224504364508,1808306645.31861
"Alta","2019-08","Ejecutivo=1, Correos=0",1736,703,40.4953917050691,1.75110667380579,2939573.32718894,27.2476958525346,0.0175110667380579,549768605.376317
"Alta","2019-08","Ejecutivo=1, Correos=1",1864,752,40.343347639485,1.73441150735125,3220679.63143777,27.450643776824,0.0173441150735125,642687672.857604
"Alta","2019-08","Ejecutivo=1, Correos=2",11115,4321,38.8753936122357,1.74694278907965,2996993.03454791,27.5201079622132,0.0174694278907966,3472058177.03827
"Alta","2019-09","Ejecutivo=0, Correos=0",1476,618,41.869918699187,1.76360536255305,2942862.67750678,27.3509485094851,0.0176360536255305,489448132.745449
"Alta","2019-09","Ejecutivo=0, Correos=1",1601,624,38.9756402248595,1.75711808928509,2988139.54778264,27.4615865084322,0.0175711808928509,501927734.953766
"Alta","2019-09","Ejecutivo=0, Correos=2",1419,564,39.7463002114165,1.75657476522471,2941121.2149401,27.3530655391121,0.0175657476522471,444548646.590836
"Alta","2019-09","Ejecutivo=0, Correos=3",3605,1445,40.0832177531207,1.73963351982822,2974880.62413315,27.5550624133148,0.0173963351982822,1148890969.12091
"Alta","2019-09","Ejecutivo=0, Correos=4",5759,2291,39.781212015975,1.74966501872999,3031929.18683799,27.5665914221219,0.0174966501872999,1868725085.72972
"Alta","2019-09","Ejecutivo=1, Correos=0",1644,642,39.051094890511,1.7313622349501,2968981.82907543,27.3199513381995,0.017313622349501,502355532.494758
"Alta","2019-09","Ejecutivo=1, Correos=1",1890,738,39.0476190476191,1.7500007289042,2945520.56878307,27.3904761904762,0.017500007289042,581058518.355567
"Alta","2019-09","Ejecutivo=1, Correos=2",11182,4471,39.9839027007691,1.75353249559424,3006483.5321946,27.4719191557861,0.0175353249559424,3611933041.66504
