"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Prom","Revenue_Potencial"
"Buen pagador","2019-01","Ejecutivo=0, Correos=0",2807,903,32.1695760598504,1.75750520079888,5856586.89348058,27.4624153900962,0.0175750520079888,1423980490.33241
"Buen pagador","2019-01","Ejecutivo=0, Correos=1",3264,1029,31.5257352941176,1.73531425475474,5780991.01164216,27.4785539215686,0.0173531425475474,1581072116.81288
"Buen pagador","2019-01","Ejecutivo=0, Correos=2",2855,908,31.8038528896673,1.75848356751564,5616677.50823117,27.661295971979,0.0175848356751564,1384363496.70559
"Buen pagador","2019-01","Ejecutivo=0, Correos=3",7051,2356,33.413700184371,1.7485055500428,5513162.37696781,27.483477520919,0.017485055500428,3481032624.16432
"Buen pagador","2019-01","Ejecutivo=0, Correos=4",11484,3707,32.27969348659,1.74940453502125,5731608.38427377,27.4691745036573,0.0174940453502125,5694233545.56831
"Buen pagador","2019-01","Ejecutivo=1, Correos=0",4329,1337,30.8847308847309,1.74385377613271,6968753.40679141,27.4566874566875,0.0174385377613271,2487376737.15191
"Buen pagador","2019-01","Ejecutivo=1, Correos=1",4894,1420,29.0151205557826,1.74991865635269,7122839.77217,27.4006947282387,0.0174991865635269,2704514206.17424
"Buen pagador","2019-01","Ejecutivo=1, Correos=2",29171,8867,30.3966267868774,1.75192958516257,6894647.15546262,27.4464365294299,0.0175192958516257,16395389568.13
"Buen pagador","2019-02","Ejecutivo=0, Correos=0",2796,930,33.2618025751073,1.74927829041257,5847228.31545064,27.4896280400572,0.0174927829041257,1458381520.5803
"Buen pagador","2019-02","Ejecutivo=0, Correos=1",3354,1096,32.6774001192606,1.74177736388999,5881752.33243888,27.3079904591532,0.0174177736388999,1709120918.30489
"Buen pagador","2019-02","Ejecutivo=0, Correos=2",2680,867,32.3507462686567,1.74911164798127,5475759.51679104,27.4347014925373,0.0174911164798127,1270445080.36638
"Buen pagador","2019-02","Ejecutivo=0, Correos=3",7152,2347,32.8159955257271,1.73786026390219,5734840.34997204,27.4836409395973,0.0173786026390219,3583708256.65165
"Buen pagador","2019-02","Ejecutivo=0, Correos=4",11365,3603,31.7025956885174,1.75023434029831,5648821.42736472,27.5185217773867,0.0175023434029831,5467485979.51421
"Buen pagador","2019-02","Ejecutivo=1, Correos=0",4449,1292,29.0402337603956,1.75512212026398,6910114.05079793,27.60665318049,0.0175512212026398,2413521058.6895
