"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Prom","Revenue_Potencial"
"Propension alta","2019-01","Ejecutivo=0, Correos=0",2835,930,32.8042328042328,1.75460841372535,6083742.06560847,27.5587301587302,0.0175460841372535,1526291477.39374
"Propension alta","2019-01","Ejecutivo=0, Correos=1",3339,1141,34.1719077568134,1.73636293276781,5835286.75561545,27.4501347708895,0.0173636293276781,1768871246.35901
"Propension alta","2019-01","Ejecutivo=0, Correos=2",2719,913,33.578521515263,1.74965502844617,5234816.22876057,27.5060684075028,0.0174965502844617,1282861951.54381
"Propension alta","2019-01","Ejecutivo=0, Correos=3",6858,2380,34.7039953339166,1.74408866105063,5599075.36453777,27.5511811023622,0.0174408866105063,3570748985.65758
"Propension alta","2019-01","Ejecutivo=0, Correos=4",10975,3739,34.0683371298406,1.7537692675044,6180797.47252847,27.5646469248292,0.017537692675044,6232441537.53178
"Propension alta","2019-01","Ejecutivo=1, Correos=0",3090,1015,32.8478964401294,1.74510314076629,8390012.1631068,27.5135922330097,0.0174510314076629,2280076550.88043
"Propension alta","2019-01","Ejecutivo=1, Correos=1",3408,1076,31.5727699530516,1.75027791855327,7755224.07951878,27.3667840375587,0.0175027791855327,2228905789.04048
"Propension alta","2019-01","Ejecutivo=1, Correos=2",20818,6738,32.3662215390527,1.74925849018177,7876091.39312134,27.4047458929772,0.0174925849018177,14186682720.7048
"Propension alta","2019-02","Ejecutivo=0, Correos=0",2758,921,33.3937635968093,1.75544235880613,5441251.60079768,27.5837563451777,0.0175544235880613,1353855661.84363
"Propension alta","2019-02","Ejecutivo=0, Correos=1",3362,1180,35.0981558596074,1.73807267953346,5912984.84622249,27.2998215348007,0.0173807267953346,1845104966.98314
"Propension alta","2019-02","Ejecutivo=0, Correos=2",2654,902,33.9864355689525,1.74454203513495,5411896.07196684,27.4837980406933,0.0174454203513495,1305085838.32836
"Propension alta","2019-02","Ejecutivo=0, Correos=3",6776,2290,33.7957497048406,1.74942665026005,6034596.75546045,27.4703364817001,0.0174942665026005,3703777219.00267
"Propension alta","2019-02","Ejecutivo=0, Correos=4",11056,3721,33.6559334298119,1.75164832363351,5748317.10265919,27.5333755426918,0.0175164832363351,5754193579.2681
"Propension alta","2019-02","Ejecutivo=1, Correos=0",3229,1041,32.2390833075256,1.75085281062866,8183979.52926603,27.568597088882,0.0175085281062866,2293848261.89143
"Propension alta","2019-02","Ejecutivo=1, Correos=1",3659,1169,31.9486198414867,1.75248014484609,7512888.79338617,27.5329324952173,0.0175248014484609,2363844499.68922
"Propension alta","2019-02","Ejecutivo=1, Correos=2",21102,6760,32.0348782105962,1.75046191616398,7825495.9612359,27.4602407354753,0.0175046191616398,14181717839.5986
"Propension alta","2019-03","Ejecutivo=0, Correos=0",2857,917,32.0966048302415,1.7588204984773,5577205.19670984,27.3157157857893,0.017588204984773,1370537692.61515
"Propension alta","2019-03","Ejecutivo=0, Correos=1",3204,1122,35.0187265917603,1.74401591093074,5729912.56491885,27.5293383270911,0.0174401591093074,1721194792.36119
"Propension alta","2019-03","Ejecutivo=0, Correos=2",2679,899,33.5572974990668,1.75064780094437,5743999.92721165,27.6103023516237,0.0175064780094437,1392357573.5297
"Propension alta","2019-03","Ejecutivo=0, Correos=3",6721,2320,34.5186728165452,1.74672815810504,5575108.21187323,27.5347418538908,0.0174672815810504,3469291855.97861
"Propension alta","2019-03","Ejecutivo=0, Correos=4",11009,3692,33.5361976564629,1.74890227926472,5657933.19729312,27.4637115087656,0.0174890227926472,5595419461.47546
"Propension alta","2019-03","Ejecutivo=1, Correos=0",3241,1012,31.2249305769824,1.75745839888384,7455779.41777229,27.7454489355137,0.0175745839888384,2053326140.26331
"Propension alta","2019-03","Ejecutivo=1, Correos=1",3578,1141,31.8893236444941,1.74414992065365,7382081.18278368,27.2571268865288,0.0174414992065365,2232093443.72428
"Propension alta","2019-03","Ejecutivo=1, Correos=2",21018,6787,32.2913693025026,1.74917959478486,8122052.91783233,27.4984299172138,0.0174917959478486,14787675438.5686
"Propension alta","2019-04","Ejecutivo=0, Correos=0",2905,962,33.1153184165232,1.73938234809886,5825464.40240964,27.2815834767642,0.0173938234809886,1482131287.6803
"Propension alta","2019-04","Ejecutivo=0, Correos=1",3263,1114,34.1403616304015,1.75261490598638,6018081.05332516,27.532638676065,0.0175261490598638,1804561032.54703
"Propension alta","2019-04","Ejecutivo=0, Correos=2",2556,866,33.8810641627543,1.75611325048559,5691268.91079812,27.4182316118936,0.0175611325048559,1323746057.37
"Propension alta","2019-04","Ejecutivo=0, Correos=3",6861,2336,34.0475149395132,1.75384747833284,5627257.5299519,27.4423553417869,0.0175384747833284,3528936997.55952
"Propension alta","2019-04","Ejecutivo=0, Correos=4",10939,3599,32.9006307706372,1.75056981880041,5463271.02376817,27.5983179449675,0.0175056981880041,5299010384.37462
"Propension alta","2019-04","Ejecutivo=1, Correos=0",3211,1035,32.2329492369978,1.75747187677548,8280543.98723139,27.6951105574587,0.0175747187677548,2327918133.35988
"Propension alta","2019-04","Ejecutivo=1, Correos=1",3568,1165,32.6513452914798,1.74859779740219,7856285.54288117,27.6275224215247,0.0174859779740219,2466360305.29396
"Propension alta","2019-04","Ejecutivo=1, Correos=2",21149,6765,31.9873280060523,1.75077633945208,7835836.69416994,27.4171355619651,0.0175077633945208,14190537725.784
"Propension alta","2019-05","Ejecutivo=0, Correos=0",2832,966,34.1101694915254,1.75695780037307,5953438.96716102,27.3968926553672,0.0175695780037307,1544170155.84267
"Propension alta","2019-05","Ejecutivo=0, Correos=1",3365,1132,33.6404160475483,1.74295951556188,5718644.39910847,27.3726597325409,0.0174295951556188,1721771130.40201
"Propension alta","2019-05","Ejecutivo=0, Correos=2",2649,900,33.9750849377123,1.74594381281115,5848656.37523594,27.1627029067573,0.0174594381281115,1391429774.66686
"Propension alta","2019-05","Ejecutivo=0, Correos=3",6937,2341,33.7465763298256,1.75007548441309,5687504.33818654,27.4464465907453,0.0175007548441309,3566682039.16252
"Propension alta","2019-05","Ejecutivo=0, Correos=4",10940,3689,33.7202925045704,1.75152611338712,5949087.25786106,27.464168190128,0.0175152611338712,5888112274.99553
"Propension alta","2019-05","Ejecutivo=1, Correos=0",3156,1007,31.9074778200253,1.75074484763948,7646298.8856147,27.3704055766793,0.0175074484763948,2057545020.18142
"Propension alta","2019-05","Ejecutivo=1, Correos=1",3591,1204,33.5282651072125,1.74933759583661,8065091.37593985,27.598440545809,0.0174933759583661,2614994284.09415
"Propension alta","2019-05","Ejecutivo=1, Correos=2",21217,6697,31.5643116368949,1.75133949583438,8040282.24258849,27.5545553094217,0.0175133949583438,14494406728.6557
"Propension alta","2019-06","Ejecutivo=0, Correos=0",2818,946,33.569907735983,1.75211884408225,6346956.8133428,27.3974449964514,0.0175211884408225,1607439523.87709
"Propension alta","2019-06","Ejecutivo=0, Correos=1",3250,1084,33.3538461538462,1.74997803446995,6212180.48307692,27.4969230769231,0.0174997803446995,1807244500.67716
"Propension alta","2019-06","Ejecutivo=0, Correos=2",2683,898,33.4699962728289,1.74878859003348,5480800.05777115,27.5624301155423,0.0174878859003348,1323185376.10273
