"Cluster","Mes","Tratamiento","N_Simulaciones","N_Ventas","Tasa_Curse","Tasa_Promedio","Monto_Promedio","Plazo_Promedio","Tasa_Prom","Revenue_Potencial"
"Renta Alta","2019-01","Ejecutivo=0, Correos=0",1054,321,30.4554079696395,1.74664897532008,21909140.9089184,27.449715370019,0.0174664897532008,1880247016.08129
"Renta Alta","2019-01","Ejecutivo=0, Correos=1",1225,351,28.6530612244898,1.75203384280404,21747860.1191837,27.4669387755102,0.0175203384280404,2048900467.1627
"Renta Alta","2019-01","Ejecutivo=0, Correos=2",1035,314,30.3381642512077,1.75087008613674,20988986.8821256,27.0657004830918,0.0175087008613674,1740929627.93139
"Renta Alta","2019-01","Ejecutivo=0, Correos=3",2579,799,30.9810003877472,1.75490446173907,21250365.0984878,27.5126017836371,0.0175490446173907,4573197134.066
"Renta Alta","2019-01","Ejecutivo=0, Correos=4",4447,1388,31.212053069485,1.75756041928242,22178499.0344052,27.4265797166629,0.0175756041928242,8277882415.45893
"Renta Alta","2019-01","Ejecutivo=1, Correos=0",1918,564,29.4056308654849,1.74029030302495,25358964.9410845,27.3576642335766,0.0174029030302495,3795666693.7141
"Renta Alta","2019-01","Ejecutivo=1, Correos=1",2207,606,27.4580879021296,1.75648603071921,23708982.7149977,27.4019030357952,0.0175648603071921,3857387974.91432
"Renta Alta","2019-01","Ejecutivo=1, Correos=2",12759,3736,29.2812916372756,1.74800014975025,25088191.6593777,27.4069284426679,0.0174800014975025,25038999303.7072
"Renta Alta","2019-02","Ejecutivo=0, Correos=0",1037,315,30.3760848601736,1.78756546758364,20396570.9093539,27.6634522661524,0.0178756546758364,1775076252.13155
"Renta Alta","2019-02","Ejecutivo=0, Correos=1",1283,404,31.4886983632112,1.72917105782862,21617998.994544,27.0615744349182,0.0172917105782862,2276156049.10588
"Renta Alta","2019-02","Ejecutivo=0, Correos=2",964,288,29.8755186721992,1.7536297492063,20478909.6493776,27.5331950207469,0.017536297492063,1588567867.25255
"Renta Alta","2019-02","Ejecutivo=0, Correos=3",2686,809,30.1191362620998,1.75497081138066,22313235.4229337,27.4899478778853,0.0175497081138066,4858072433.58487
"Renta Alta","2019-02","Ejecutivo=0, Correos=4",4247,1267,29.832823169296,1.75561613611887,21783393.3875677,27.4480809983518,0.0175561613611887,7418887210.43935
"Renta Alta","2019-02","Ejecutivo=1, Correos=0",1925,569,29.5584415584416,1.74953371401154,25863823.1485714,27.6654545454545,0.0174953371401154,3973615094.0745
"Renta Alta","2019-02","Ejecutivo=1, Correos=1",2102,596,28.3539486203616,1.75209857221714,25237401.4662226,27.6755470980019,0.0175209857221714,4069275736.84962
