categoria_clusterizacion_numerica,probabilidad_simular,Tratamiento
101,0.015937934119752303,"Ejecutivo=0.0, Correos=0"
101,0.01768971768971769,"Ejecutivo=0.0, Correos=1"
101,0.013672859127404582,"Ejecutivo=0.0, Correos=2"
101,0.035393562666289936,"Ejecutivo=0.0, Correos=3"
101,0.05663864754773846,"Ejecutivo=0.0, Correos=4"
101,0.016924489651762378,"Ejecutivo=1.0, Correos=0"
101,0.018372536554354738,"Ejecutivo=1.0, Correos=1"
101,0.10727790727790727,"Ejecutivo=1.0, Correos=2"
76,0.006561639409837074,"Ejecutivo=0.0, Correos=0"
76,0.007092416806412406,"Ejecutivo=0.0, Correos=1"
76,0.005977015031000477,"Ejecutivo=0.0, Correos=2"
76,0.015095104027241445,"Ejecutivo=0.0, Correos=3"
76,0.024118319769022088,"Ejecutivo=0.0, Correos=4"
76,0.011343764263039945,"Ejecutivo=1.0, Correos=0"
76,0.01232583065380493,"Ejecutivo=1.0, Correos=1"
76,0.07196264557916275,"Ejecutivo=1.0, Correos=2"
72,0.014113701924418184,"Ejecutivo=0.0, Correos=0"
72,0.01561462535500466,"Ejecutivo=0.0, Correos=1"
72,0.011834418573508981,"Ejecutivo=0.0, Correos=2"
72,0.031028383633797,"Ejecutivo=0.0, Correos=3"
72,0.049363083979176776,"Ejecutivo=0.0, Correos=4"
72,0.0206948884908745,"Ejecutivo=1.0, Correos=0"
72,0.023222465866546145,"Ejecutivo=1.0, Correos=1"
72,0.1339504416285856,"Ejecutivo=1.0, Correos=2"
82,0.016025309372976,"Ejecutivo=0.0, Correos=0"
82,0.01829410840413749,"Ejecutivo=0.0, Correos=1"
82,0.013986456189567356,"Ejecutivo=0.0, Correos=2"
82,0.03542699027712307,"Ejecutivo=0.0, Correos=3"
82,0.056700813625057966,"Ejecutivo=0.0, Correos=4"
82,0.016925930610008008,"Ejecutivo=1.0, Correos=0"
82,0.0181618895416796,"Ejecutivo=1.0, Correos=1"
82,0.10591688990576052,"Ejecutivo=1.0, Correos=2"
52,0.011327126688572471,"Ejecutivo=0.0, Correos=0"
52,0.014260679079956188,"Ejecutivo=0.0, Correos=1"
52,0.012225264695144213,"Ejecutivo=0.0, Correos=2"
52,0.032223439211391015,"Ejecutivo=0.0, Correos=3"
52,0.052586710478276746,"Ejecutivo=0.0, Correos=4"
52,0.013683826213946695,"Ejecutivo=1.0, Correos=0"
52,0.015553121577217962,"Ejecutivo=1.0, Correos=1"
52,0.09354143848119752,"Ejecutivo=1.0, Correos=2"
91,0.01672410247149529,"Ejecutivo=0.0, Correos=0"
91,0.018843458588533906,"Ejecutivo=0.0, Correos=1"
91,0.014890671321725783,"Ejecutivo=0.0, Correos=2"
91,0.036859239640236165,"Ejecutivo=0.0, Correos=3"
91,0.058729991522575534,"Ejecutivo=0.0, Correos=4"
91,0.015911473617151485,"Ejecutivo=1.0, Correos=0"
91,0.017065205941219845,"Ejecutivo=1.0, Correos=1"
91,0.09803464206708702,"Ejecutivo=1.0, Correos=2"
94,0.006450002496130997,"Ejecutivo=0.0, Correos=0"
94,0.00749338525285807,"Ejecutivo=0.0, Correos=1"
94,0.006200389396435525,"Ejecutivo=0.0, Correos=2"
94,0.015233887474414657,"Ejecutivo=0.0, Correos=3"
94,0.02452199091408317,"Ejecutivo=0.0, Correos=4"
94,0.010636014178024063,"Ejecutivo=1.0, Correos=0"
94,0.011452249014028255,"Ejecutivo=1.0, Correos=1"
94,0.06811941490689431,"Ejecutivo=1.0, Correos=2"
50,0.006215747904577692,"Ejecutivo=0.0, Correos=0"
50,0.00860763792944644,"Ejecutivo=0.0, Correos=1"
50,0.007824732891222253,"Ejecutivo=0.0, Correos=2"
50,0.021047768720641062,"Ejecutivo=0.0, Correos=3"
50,0.034774511835682045,"Ejecutivo=0.0, Correos=4"
50,0.011683130699088147,"Ejecutivo=1.0, Correos=0"
50,0.01344322787141936,"Ejecutivo=1.0, Correos=1"
50,0.08273032375425993,"Ejecutivo=1.0, Correos=2"
79,0.011467466543608676,"Ejecutivo=0.0, Correos=0"
79,0.012669845664769523,"Ejecutivo=0.0, Correos=1"
79,0.00992411423883505,"Ejecutivo=0.0, Correos=2"
79,0.02554222427318874,"Ejecutivo=0.0, Correos=3"
79,0.04093216428241809,"Ejecutivo=0.0, Correos=4"
79,0.01383889658001333,"Ejecutivo=1.0, Correos=0"
79,0.014992565246372352,"Ejecutivo=1.0, Correos=1"
79,0.08774547505511973,"Ejecutivo=1.0, Correos=2"
29,0.01596089580527707,"Ejecutivo=0.0, Correos=0"
29,0.018842472306485475,"Ejecutivo=0.0, Correos=1"
29,0.015695636599422323,"Ejecutivo=0.0, Correos=2"
29,0.040719555271403245,"Ejecutivo=0.0, Correos=3"
29,0.06683738477094754,"Ejecutivo=0.0, Correos=4"
29,0.017673744779834858,"Ejecutivo=1.0, Correos=0"
29,0.019835493948916066,"Ejecutivo=1.0, Correos=1"
29,0.12017262252934854,"Ejecutivo=1.0, Correos=2"
26,0.011295274993905131,"Ejecutivo=0.0, Correos=0"
26,0.013685452041616425,"Ejecutivo=0.0, Correos=1"
26,0.011766391903378205,"Ejecutivo=0.0, Correos=2"
26,0.031449524600209534,"Ejecutivo=0.0, Correos=3"
26,0.05168613730257566,"Ejecutivo=0.0, Correos=4"
26,0.014487668597257638,"Ejecutivo=1.0, Correos=0"
26,0.016294714924851912,"Ejecutivo=1.0, Correos=1"
26,0.10049121350491214,"Ejecutivo=1.0, Correos=2"
84,0.005578156554599326,"Ejecutivo=0.0, Correos=0"
84,0.00624557157528521,"Ejecutivo=0.0, Correos=1"
84,0.004851032436635379,"Ejecutivo=0.0, Correos=2"
84,0.012680885393031815,"Ejecutivo=0.0, Correos=3"
84,0.02041122318729815,"Ejecutivo=0.0, Correos=4"
84,0.014549116703420933,"Ejecutivo=1.0, Correos=0"
84,0.016110841314449335,"Ejecutivo=1.0, Correos=1"
84,0.09437354542004686,"Ejecutivo=1.0, Correos=2"
107,0.011243265079879558,"Ejecutivo=0.0, Correos=0"
107,0.012784017511966667,"Ejecutivo=0.0, Correos=1"
107,0.009817599338603834,"Ejecutivo=0.0, Correos=2"
107,0.02482349459562295,"Ejecutivo=0.0, Correos=3"
107,0.03989985109191434,"Ejecutivo=0.0, Correos=4"
107,0.014108688810285461,"Ejecutivo=1.0, Correos=0"
107,0.015651789950348313,"Ejecutivo=1.0, Correos=1"
107,0.09049806701333596,"Ejecutivo=1.0, Correos=2"
71,0.011396122459587297,"Ejecutivo=0.0, Correos=0"
71,0.012682571859244244,"Ejecutivo=0.0, Correos=1"
71,0.009667862154997662,"Ejecutivo=0.0, Correos=2"
71,0.023766827797702582,"Ejecutivo=0.0, Correos=3"
71,0.037865793440407504,"Ejecutivo=0.0, Correos=4"
71,0.01567129268673008,"Ejecutivo=1.0, Correos=0"
71,0.015541348302926347,"Ejecutivo=1.0, Correos=1"
71,0.09567804979468787,"Ejecutivo=1.0, Correos=2"
80,0.011111365929731217,"Ejecutivo=0.0, Correos=0"
80,0.012241486509902252,"Ejecutivo=0.0, Correos=1"
80,0.009841095108501768,"Ejecutivo=0.0, Correos=2"
80,0.024751806664016555,"Ejecutivo=0.0, Correos=3"
80,0.039997604704971004,"Ejecutivo=0.0, Correos=4"
80,0.014347562405080064,"Ejecutivo=1.0, Correos=0"
80,0.01557706224709252,"Ejecutivo=1.0, Correos=1"
80,0.09195257315842584,"Ejecutivo=1.0, Correos=2"
38,0.016270778924677695,"Ejecutivo=0.0, Correos=0"
38,0.019578047921071175,"Ejecutivo=0.0, Correos=1"
38,0.016439186668324834,"Ejecutivo=0.0, Correos=2"
38,0.04245688761762633,"Ejecutivo=0.0, Correos=3"
38,0.06984128217883348,"Ejecutivo=0.0, Correos=4"
38,0.016199529494673133,"Ejecutivo=1.0, Correos=0"
38,0.018349966836628942,"Ejecutivo=1.0, Correos=1"
38,0.11115429258384114,"Ejecutivo=1.0, Correos=2"
43,0.01176586513442524,"Ejecutivo=0.0, Correos=0"
43,0.01429394031771839,"Ejecutivo=0.0, Correos=1"
43,0.012725055657684456,"Ejecutivo=0.0, Correos=2"
43,0.03277721837827518,"Ejecutivo=0.0, Correos=3"
43,0.053659242562809274,"Ejecutivo=0.0, Correos=4"
43,0.01279741834563499,"Ejecutivo=1.0, Correos=0"
43,0.014869762558005623,"Ejecutivo=1.0, Correos=1"
43,0.09024858892758496,"Ejecutivo=1.0, Correos=2"
24,0.00957338143568122,"Ejecutivo=0.0, Correos=0"
24,0.012159607067567862,"Ejecutivo=0.0, Correos=1"
24,0.010413723657806852,"Ejecutivo=0.0, Correos=2"
24,0.027695071682640415,"Ejecutivo=0.0, Correos=3"
24,0.045599432044567116,"Ejecutivo=0.0, Correos=4"
24,0.01742261245010468,"Ejecutivo=1.0, Correos=0"
24,0.020374676721796013,"Ejecutivo=1.0, Correos=1"
24,0.12437427103934395,"Ejecutivo=1.0, Correos=2"
22,0.006352924474730267,"Ejecutivo=0.0, Correos=0"
22,0.00828558153941459,"Ejecutivo=0.0, Correos=1"
22,0.007966160755768933,"Ejecutivo=0.0, Correos=2"
22,0.021439910175003872,"Ejecutivo=0.0, Correos=3"
22,0.035939677868979406,"Ejecutivo=0.0, Correos=4"
22,0.011299106912394817,"Ejecutivo=1.0, Correos=0"
22,0.013312425791131071,"Ejecutivo=1.0, Correos=1"
22,0.08096510247276857,"Ejecutivo=1.0, Correos=2"
44,0.011402450508783451,"Ejecutivo=0.0, Correos=0"
44,0.014298876553202104,"Ejecutivo=0.0, Correos=1"
44,0.012194004550799444,"Ejecutivo=0.0, Correos=2"
44,0.03220046933300755,"Ejecutivo=0.0, Correos=3"
44,0.05320083074996564,"Ejecutivo=0.0, Correos=4"
44,0.01357731523194315,"Ejecutivo=1.0, Correos=0"
44,0.015843806789548432,"Ejecutivo=1.0, Correos=1"
44,0.09467724447566545,"Ejecutivo=1.0, Correos=2"
102,0.004866076495289979,"Ejecutivo=0.0, Correos=0"
102,0.0064124389967086595,"Ejecutivo=0.0, Correos=1"
102,0.005149812734082397,"Ejecutivo=0.0, Correos=2"
102,0.014002383384405856,"Ejecutivo=0.0, Correos=3"
102,0.022074679378050164,"Ejecutivo=0.0, Correos=4"
102,0.01420099875156055,"Ejecutivo=1.0, Correos=0"
102,0.014938712972420838,"Ejecutivo=1.0, Correos=1"
102,0.09141981613891727,"Ejecutivo=1.0, Correos=2"
35,0.011049265139736747,"Ejecutivo=0.0, Correos=0"
35,0.013551895650066969,"Ejecutivo=0.0, Correos=1"
35,0.011583219475423517,"Ejecutivo=0.0, Correos=2"
35,0.031091622525693748,"Ejecutivo=0.0, Correos=3"
35,0.05063479991295198,"Ejecutivo=0.0, Correos=4"
35,0.01483966787142918,"Ejecutivo=1.0, Correos=0"
35,0.01688574498969109,"Ejecutivo=1.0, Correos=1"
35,0.1027469482714911,"Ejecutivo=1.0, Correos=2"
33,0.00957195744456257,"Ejecutivo=0.0, Correos=0"
33,0.011816975427326262,"Ejecutivo=0.0, Correos=1"
33,0.01056157494326193,"Ejecutivo=0.0, Correos=2"
33,0.02732475287837318,"Ejecutivo=0.0, Correos=3"
33,0.04524908201195835,"Ejecutivo=0.0, Correos=4"
33,0.017749025462386995,"Ejecutivo=1.0, Correos=0"
33,0.020661328387130827,"Ejecutivo=1.0, Correos=1"
33,0.12313292165245387,"Ejecutivo=1.0, Correos=2"
95,0.006332068985464131,"Ejecutivo=0.0, Correos=0"
95,0.007257604680566229,"Ejecutivo=0.0, Correos=1"
95,0.005716422473989968,"Ejecutivo=0.0, Correos=2"
95,0.014818900761087835,"Ejecutivo=0.0, Correos=3"
95,0.02379948930262538,"Ejecutivo=0.0, Correos=4"
95,0.011139483187478825,"Ejecutivo=1.0, Correos=0"
95,0.01217038120501442,"Ejecutivo=1.0, Correos=1"
95,0.07163191775954252,"Ejecutivo=1.0, Correos=2"
106,0.011265726734224312,"Ejecutivo=0.0, Correos=0"
106,0.012783325990111127,"Ejecutivo=0.0, Correos=1"
106,0.010014319283301513,"Ejecutivo=0.0, Correos=2"
106,0.025349414989964264,"Ejecutivo=0.0, Correos=3"
106,0.040822196112987715,"Ejecutivo=0.0, Correos=4"
106,0.013480932099672003,"Ejecutivo=1.0, Correos=0"
106,0.014769055661624321,"Ejecutivo=1.0, Correos=1"
106,0.0868305429088951,"Ejecutivo=1.0, Correos=2"
30,0.005288490217131949,"Ejecutivo=0.0, Correos=0"
30,0.007188021951801479,"Ejecutivo=0.0, Correos=1"
30,0.006869258530183727,"Ejecutivo=0.0, Correos=2"
30,0.018294410641851586,"Ejecutivo=0.0, Correos=3"
30,0.03049503400143164,"Ejecutivo=0.0, Correos=4"
30,0.01434062574564543,"Ejecutivo=1.0, Correos=0"
